,models,training_acc,testing_acc,precision,recall,f1,fpr,fnr,roc-score
0,logit,75.44888888888889,73.27647476901208,49.833333333333336,79.94652406417111,61.39630390143738,29.138431752178125,20.053475935828878,75.4040461559965
1,svm,75.37777777777778,72.06823027718549,47.570332480818415,49.73262032085562,48.627450980392155,19.845111326234267,50.26737967914438,64.94375449731068
2,naive,76.39111111111112,74.48471926083866,51.439539347408825,71.65775401069519,59.88826815642459,24.491771539206194,28.342245989304814,73.58299123574449
3,decisiontrees,74.52444444444446,71.35749822316987,47.603305785123965,77.00534759358288,58.83554647599591,30.68731848983543,22.994652406417114,73.15901455187372
4,randomforest,75.02222222222223,73.20540156361052,49.75369458128079,81.01604278074866,61.64801627670396,29.62245885769603,18.983957219251337,75.69679196152632
5,xgb,85.72444444444444,78.46481876332622,62.116040955631405,48.663101604278076,54.5727136431784,10.745401742497581,51.33689839572193,68.95884993089024
