,Thresholds,Precision,Recall,F1,FPR,FNR
0,0.1,26.581378820184792,100.0,41.99887703537338,100.0,0.0
1,0.12000000000000001,27.259475218658892,100.0,42.84077892325315,96.61181026137464,0.0
2,0.14,28.045112781954888,99.73262032085562,43.779342723004696,92.64278799612778,0.267379679144385
3,0.16000000000000003,28.949416342412455,99.46524064171123,44.846292947558766,88.38334946757018,0.53475935828877
4,0.18000000000000002,29.71887550200803,98.93048128342245,45.70722668313774,84.70474346563408,1.06951871657754
5,0.2,30.603804797353185,98.93048128342245,46.746683512318384,81.21974830590513,1.06951871657754
6,0.22000000000000003,31.297709923664126,98.66310160427807,47.52092723760464,78.41239109390126,1.3368983957219251
7,0.24000000000000005,32.562277580071175,97.86096256684492,48.865153538050734,73.37850919651501,2.13903743315508
8,0.26,33.61034164358264,97.32620320855615,49.96568291008923,69.60309777347533,2.6737967914438503
9,0.28,34.8747591522158,96.79144385026738,51.27478753541076,65.44046466602128,3.2085561497326207
10,0.30000000000000004,36.25377643504532,96.2566844919786,52.67008046817849,61.27783155856727,3.7433155080213902
11,0.32000000000000006,37.61854583772392,95.45454545454545,53.96825396825397,57.30880929332043,4.545454545454546
12,0.3400000000000001,38.748627881448954,94.38502673796792,54.94163424124514,54.01742497579865,5.614973262032086
13,0.36000000000000004,40.0,93.04812834224599,55.948553054662376,50.5324298160697,6.951871657754011
14,0.38000000000000006,41.007194244604314,91.44385026737967,56.622516556291394,47.62826718296225,8.55614973262032
15,0.4000000000000001,42.19725343320849,90.37433155080214,57.53191489361702,44.820909970958375,9.62566844919786
16,0.42000000000000004,42.58064516129032,88.23529411764706,57.44125326370757,43.0784123910939,11.76470588235294
17,0.44000000000000006,44.3089430894309,87.43315508021391,58.81294964028777,39.787028073572124,12.566844919786096
18,0.4600000000000001,46.18705035971223,85.8288770053476,60.056127221702525,36.205227492739596,14.171122994652407
19,0.4800000000000001,48.372093023255815,83.42245989304813,61.236506378802744,32.23620522749274,16.577540106951872
20,0.5000000000000001,49.75369458128079,81.01604278074866,61.64801627670396,29.62245885769603,18.983957219251337
21,0.5200000000000001,51.24113475177305,77.27272727272727,61.62046908315565,26.621490803484992,22.727272727272727
22,0.54,53.179190751445084,73.79679144385027,61.81410974244122,23.523717328170378,26.203208556149733
23,0.56,54.166666666666664,69.5187165775401,60.88992974238876,21.297192642787994,30.481283422459892
24,0.5800000000000001,56.27802690582959,67.11229946524064,61.21951219512195,18.87705711519845,32.887700534759354
25,0.6000000000000001,58.75,62.834224598930476,60.72351421188631,15.972894482090997,37.16577540106952
26,0.6200000000000001,62.089552238805965,55.61497326203209,58.67418899858956,12.294288480154888,44.38502673796791
27,0.6400000000000001,64.28571428571429,48.1283422459893,55.04587155963303,9.68054211035818,51.87165775401069
28,0.6600000000000001,65.84362139917695,42.780748663101605,51.86385737439222,8.03484995159729,57.21925133689839
29,0.6800000000000002,67.02127659574468,33.68983957219251,44.83985765124555,6.001936108422071,66.31016042780749
30,0.7000000000000002,75.86206896551724,29.411764705882355,42.38921001926782,3.3881897386253628,70.58823529411765
31,0.7200000000000001,79.3103448275862,24.598930481283425,37.55102040816327,2.3233301064859635,75.40106951871658
32,0.7400000000000001,82.35294117647058,18.71657754010695,30.501089324618736,1.452081316553727,81.28342245989305
33,0.7600000000000001,89.47368421052632,13.636363636363635,23.665893271461716,0.5808325266214909,86.36363636363636
34,0.7800000000000001,86.95652173913044,5.347593582887701,10.075566750629724,0.29041626331074544,94.6524064171123
35,0.8000000000000002,100.0,0.8021390374331552,1.5915119363395225,0.0,99.19786096256684
36,0.8200000000000002,0.0,0.0,0.0,0.0,100.0
37,0.8400000000000002,0.0,0.0,0.0,0.0,100.0
38,0.8600000000000001,0.0,0.0,0.0,0.0,100.0
39,0.8800000000000001,0.0,0.0,0.0,0.0,100.0
